TeamName,Division,Nickname
Air Force,FBS,Falcons
Akron,FBS,Zips
Alabama,FBS,Crimson Tide
Appalachian State,FBS,Mountaineers
Arizona,FBS,Wildcats
Arizona State,FBS,Sun Devils
Arkansas,FBS,Razorbacks
Arkansas State,FBS,Red Wolves
Army,FBS,Black Knights
Auburn,FBS,Tigers
Ball State,FBS,Cardinals
Baylor,FBS,Bears
Boise State,FBS,Broncos
Boston College,FBS,Eagles
Bowling Green,FBS,Falcons
Buffalo,FBS,Bulls
BYU,FBS,Cougars
California,FBS,Golden Bears
Central Michigan,FBS,Chippewas
Charlotte,FBS,49ers
Cincinnati,FBS,Bearcats
Clemson,FBS,Tigers
Coastal Carolina,FBS,Chanticleers
Colorado,FBS,Buffaloes
Colorado State,FBS,Rams
Delaware,FBS,Fightin' Blue Hens
Duke,FBS,Blue Devils
East Carolina,FBS,Pirates
Eastern Michigan,FBS,Eagles
FIU,FBS,Panthers
Florida,FBS,Gators
Florida Atlantic,FBS,Owls
Florida State,FBS,Seminoles
Fresno State,FBS,Bulldogs
Georgia,FBS,Bulldogs
Georgia Southern,FBS,Eagles
Georgia State,FBS,Panthers
Georgia Tech,FBS,Yellow Jackets
Hawaii,FBS,Rainbow Warriors
Houston,FBS,Cougars
Illinois,FBS,Fighting Illini
Indiana,FBS,Hoosiers
Iowa,FBS,Hawkeyes
Iowa State,FBS,Cyclones
Jacksonville State,FBS,Gamecocks
James Madison,FBS,Dukes
Kansas,FBS,Jayhawks
Kansas State,FBS,Wildcats
Kennesaw State,FBS,Owls
Kent State,FBS,Golden Flashes
Kentucky,FBS,Wildcats
Liberty,FBS,Flames
Louisiana,FBS,Ragin' Cajuns
Louisiana Tech,FBS,Bulldogs
Louisville,FBS,Cardinals
LSU,FBS,Tigers
Marshall,FBS,Thundering Herd
Maryland,FBS,Terrapins
Memphis,FBS,Tigers
Miami (FL),FBS,Hurricanes
Miami (OH),FBS,RedHawks
Michigan,FBS,Wolverines
Michigan State,FBS,Spartans
Middle Tennessee,FBS,Blue Raiders
Minnesota,FBS,Golden Gophers
Mississippi State,FBS,Bulldogs
Missouri,FBS,Tigers
Missouri State,FBS,Bears
Navy,FBS,Midshipmen
NC State,FBS,Wolfpack
Nebraska,FBS,Cornhuskers
Nevada,FBS,Wolf Pack
New Mexico,FBS,Lobos
New Mexico State,FBS,Aggies
North Carolina,FBS,Tar Heels
North Texas,FBS,Mean Green
Northern Illinois,FBS,Huskies
Northwestern,FBS,Wildcats
Notre Dame,FBS,Fighting Irish
Ohio,FBS,Bobcats
Ohio State,FBS,Buckeyes
Oklahoma,FBS,Sooners
Oklahoma State,FBS,Cowboys
Old Dominion,FBS,Monarchs
Ole Miss,FBS,Rebels
Oregon,FBS,Ducks
Oregon State,FBS,Beavers
Penn State,FBS,Nittany Lions
Pittsburgh,FBS,Panthers
Purdue,FBS,Boilermakers
Rice,FBS,Owls
Rutgers,FBS,Scarlet Knights
Sam Houston,FBS,Bearkats
San Diego State,FBS,Aztecs
San Jose State,FBS,Spartans
SMU,FBS,Mustangs
South Alabama,FBS,Jaguars
South Carolina,FBS,Gamecocks
South Florida,FBS,Bulls
Southern Miss,FBS,Golden Eagles
Stanford,FBS,Cardinal
Syracuse,FBS,Orange
TCU,FBS,Horned Frogs
Temple,FBS,Owls
Tennessee,FBS,Volunteers
Texas,FBS,Longhorns
Texas A&M,FBS,Aggies
Texas State,FBS,Bobcats
Texas Tech,FBS,Red Raiders
Toledo,FBS,Rockets
Troy,FBS,Trojans
Tulane,FBS,Green Wave
Tulsa,FBS,Golden Hurricane
UAB,FBS,Blazers
UCF,FBS,Knights
UCLA,FBS,Bruins
UConn,FBS,Huskies
ULM,FBS,Warhawks
UMass,FBS,Minutemen
UNLV,FBS,Rebels
USC,FBS,Trojans
Utah,FBS,Utes
Utah State,FBS,Aggies
UTEP,FBS,Miners
UTSA,FBS,Roadrunners
Vanderbilt,FBS,Commodores
Virginia,FBS,Cavaliers
Virginia Tech,FBS,Hokies
Wake Forest,FBS,Demon Deacons
Washington,FBS,Huskies
Washington State,FBS,Cougars
West Virginia,FBS,Mountaineers
Western Kentucky,FBS,Hilltoppers
Western Michigan,FBS,Broncos
Wisconsin,FBS,Badgers
Wyoming,FBS,Cowboys
Abilene Christian,FCS,Wildcats
Alabama A&M,FCS,Bulldogs
Alabama State,FCS,Hornets
Albany,FCS,Great Danes
Alcorn State,FCS,Braves
Arkansas Pine Bluff,FCS,Golden Lions
Austin Peay,FCS,Governors
Bethune Cookman,FCS,Wildcats
Brown,FCS,Bears
Bryant,FCS,Bulldogs
Bucknell,FCS,Bison
Butler,FCS,Bulldogs
Cal Poly,FCS,Mustangs
Campbell,FCS,Fighting Camels
Central Arkansas,FCS,Bears
Central Connecticut,FCS,Blue Devils
Charleston Southern,FCS,Buccaneers
Chattanooga,FCS,Mocs
Colgate,FCS,Raiders
Columbia,FCS,Lions
Cornell,FCS,Big Red
Dartmouth,FCS,Big Green
Davidson,FCS,Wildcats
Dayton,FCS,Flyers
Delaware State,FCS,Hornets
Drake,FCS,Bulldogs
Duquesne,FCS,Dukes
East Tennessee State,FCS,Buccaneers
East Texas A&M,FCS,Lions
Eastern Illinois,FCS,Panthers
Eastern Kentucky,FCS,Colonels
Eastern Washington,FCS,Eagles
Elon,FCS,Phoenix
Florida A&M,FCS,Rattlers
Fordham,FCS,Rams
Furman,FCS,Paladins
Gardner Webb,FCS,Runnin' Bulldogs
Georgetown,FCS,Hoyas
Grambling State,FCS,Tigers
Hampton,FCS,Pirates
Harvard,FCS,Crimson
Holy Cross,FCS,Crusaders
Houston Christian,FCS,Huskies
Howard,FCS,Bison
Idaho,FCS,Vandals
Idaho State,FCS,Bengals
Illinois State,FCS,Redbirds
Incarnate Word,FCS,Cardinals
Indiana State,FCS,Sycamores
Jackson State,FCS,Tigers
Lafayette,FCS,Leopards
Lamar,FCS,Cardinals
Lehigh,FCS,Mountain Hawks
Lindenwood,FCS,Lions
LIU,FCS,Sharks
Maine,FCS,Black Bears
Marist,FCS,Red Foxes
McNeese,FCS,Cowboys
Mercer,FCS,Bears
Merrimack,FCS,Warriors
Mississippi Valley State,FCS,Delta Devils
Monmouth,FCS,Hawks
Montana,FCS,Grizzlies
Montana State,FCS,Bobcats
Morehead State,FCS,Eagles
Morgan State,FCS,Bears
Murray State,FCS,Racers
New Hampshire,FCS,Wildcats
Nicholls,FCS,Colonels
Norfolk State,FCS,Spartans
North Alabama,FCS,Lions
North Carolina A&T,FCS,Aggies
North Carolina Central,FCS,Eagles
North Dakota,FCS,Fighting Hawks
North Dakota State,FCS,Bison
Northern Arizona,FCS,Lumberjacks
Northern Colorado,FCS,Bears
Northern Iowa,FCS,Panthers
Northwestern State,FCS,Demons
Penn,FCS,Quakers
Portland State,FCS,Vikings
Prairie View A&M,FCS,Panthers
Presbyterian,FCS,Blue Hose
Princeton,FCS,Tigers
Rhode Island,FCS,Rams
Richmond,FCS,Spiders
Robert Morris,FCS,Colonials
Sacramento State,FCS,Hornets
Sacred Heart,FCS,Pioneers
Saint Francis (PA),FCS,Red Flash
Samford,FCS,Bulldogs
San Diego,FCS,Toreros
South Carolina State,FCS,Bulldogs
South Dakota,FCS,Coyotes
South Dakota State,FCS,Jackrabbits
Southeast Missouri State,FCS,Redhawks
Southeastern Louisiana,FCS,Lions
Southern,FCS,Jaguars
Southern Illinois,FCS,Salukis
Southern Utah,FCS,Thunderbirds
St. Thomas,FCS,Tommies
Stephen F. Austin,FCS,Lumberjacks
Stetson,FCS,Hatters
Stonehill,FCS,Skyhawks
Stony Brook,FCS,Seawolves
Tarleton State,FCS,Texans
Tennessee State,FCS,Tigers
Tennessee Tech,FCS,Golden Eagles
Texas Southern,FCS,Tigers
The Citadel,FCS,Bulldogs
Towson,FCS,Tigers
UC Davis,FCS,Aggies
UT Martin,FCS,Skyhawks
Utah Tech,FCS,Trailblazers
UTRGV,FCS,Vaqueros
Valparaiso,FCS,Beacons
Villanova,FCS,Wildcats
VMI,FCS,Keydets
Wagner,FCS,Seahawks
Weber State,FCS,Wildcats
Western Carolina,FCS,Catamounts
Western Illinois,FCS,Leathernecks
William & Mary,FCS,Tribe
Wofford,FCS,Terriers
Yale,FCS,Bulldogs
Youngstown State,FCS,Penguins
